model,accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr
Gradient Boosting,0.5791666666666667,0.5706012778188526,0.5654751829969221,0.5791666666666667,0.8139725650399252
XGBoost,0.575,0.5657121966617864,0.5611306706240565,0.575,0.8069860607664257
Logistic Regression,0.56,0.563281187631151,0.5739738357296095,0.56,0.8004753307611538
Random Forest,0.56,0.5617279517960557,0.5668959693744574,0.56,0.7919818640947838
Deep Learning (MLP),0.525,0.5291567754205656,0.5472174061013887,0.525,0.7939454839867081
Decision Tree,0.4725,0.4898591244847493,0.5288257636527601,0.4725,0.6985576911167202
